municipality,year,num_households,median_income
Apeldoorn,2013,68.0,23.9
Apeldoorn,2014,68.6,24.6
Apeldoorn,2015,69.3,24.9
Apeldoorn,2016,69.8,25.9
Apeldoorn,2017,70.8,26.4
Apeldoorn,2018,71.7,26.7
Apeldoorn,2019,72.4,28.0
Apeldoorn,2020,73.0,29.3
Apeldoorn,2021,73.8,30.5
Arnhem,2012,73.6,20.5
Arnhem,2013,74.0,20.5
Arnhem,2014,73.6,21.1
Arnhem,2015,74.5,21.4
Arnhem,2016,75.1,22.3
Arnhem,2017,76.6,22.6
Arnhem,2018,77.6,23.0
Arnhem,2019,78.8,24.2
Arnhem,2020,80.0,25.4
Arnhem,2021,80.9,26.5
Assen,2012,29.5,22.5
Assen,2013,29.6,22.7
Assen,2014,29.6,23.4
Assen,2015,29.8,23.7
Assen,2016,30.0,24.6
Assen,2017,30.4,25.1
Assen,2018,30.5,25.6
Assen,2019,30.9,26.9
Assen,2020,31.3,27.9
Assen,2021,31.6,29.0
Asten,2012,6.7,24.2
Asten,2013,6.8,24.4
Asten,2014,6.8,25.2
Asten,2015,6.9,25.5
Asten,2016,6.9,26.6
Asten,2017,7.0,27.1
Asten,2018,7.0,27.5
Asten,2019,7.1,28.7
Asten,2020,7.1,29.6
Asten,2021,7.2,31.0
Baarle-Nassau,2012,2.9,24.8
Baarle-Nassau,2013,2.9,24.9
Baarle-Nassau,2014,2.8,25.4
Baarle-Nassau,2015,2.8,25.9
Baarle-Nassau,2016,2.9,26.4
Baarle-Nassau,2017,2.9,27.1
Baarle-Nassau,2018,3.0,26.6
Baarle-Nassau,2019,3.1,28.3
Baarle-Nassau,2020,3.1,29.0
Baarle-Nassau,2021,3.0,30.9
Baarn,2012,11.0,25.2
Baarn,2013,11.0,25.6
Baarn,2014,10.7,26.6
Baarn,2015,10.9,27.0
Baarn,2016,10.9,28.2
Baarn,2017,11.0,28.6
Baarn,2018,11.0,29.2
Baarn,2019,11.0,30.6
Baarn,2020,11.1,31.6
Baarn,2021,11.1,33.0
Barendrecht,2012,18.5,27.3
Barendrecht,2013,18.7,27.5
Barendrecht,2014,18.4,28.5
Barendrecht,2015,18.5,29.1
Barendrecht,2016,18.7,30.2
Barendrecht,2017,18.9,30.8
Barendrecht,2018,19.0,31.2
Barendrecht,2019,19.2,32.8
Barendrecht,2020,19.2,34.0
Barendrecht,2021,19.3,35.4
Barneveld,2012,19.4,24.3
Barneveld,2013,19.5,24.5
Barneveld,2014,19.8,25.2
Barneveld,2015,20.2,25.6
Barneveld,2016,20.6,26.6
Barneveld,2017,21.0,27.4
Barneveld,2018,21.5,27.8
Barneveld,2019,21.8,29.2
Barneveld,2020,22.3,30.4
Barneveld,2021,22.6,31.7
Beek,2012,7.3,24.4
Beek,2013,7.3,24.8
Beek,2014,7.3,25.4
Beek,2015,7.3,25.9
Beek,2016,7.3,26.5
Beek,2017,7.3,27.3
Beek,2018,7.3,27.7
Beek,2019,7.3,28.9
Beek,2020,7.3,29.8
Beek,2021,7.3,31.0
Beesel,2012,5.8,22.8
Beesel,2013,5.8,22.9
Beesel,2014,5.8,23.7
Beesel,2015,5.8,24.0
Beesel,2016,5.8,25.0
Beesel,2017,5.8,25.7
Beesel,2018,5.8,26.0
Beesel,2019,5.9,27.1
Beesel,2020,5.9,28.3
Beesel,2021,5.9,29.3
Bergeijk,2012,7.2,25.3
Bergeijk,2013,7.3,25.5
Bergeijk,2014,7.4,26.5
Bergeijk,2015,7.4,27.0
Bergeijk,2016,7.5,28.0
Bergeijk,2017,7.7,28.7
Bergeijk,2018,7.7,29.0
Bergeijk,2019,7.8,30.7
Bergeijk,2020,7.8,31.6
Bergeijk,2021,7.9,33.2
Bergen (L.),2012,5.5,23.1
Bergen (L.),2013,5.5,23.3
Bergen (L.),2014,5.5,24.1
Bergen (L.),2015,5.5,24.4
Bergen (L.),2016,5.5,25.3
Bergen (L.),2017,5.5,26.3
Bergen (L.),2018,5.6,26.6
Bergen (L.),2019,5.6,27.8
Bergen (L.),2020,5.6,29.1
Bergen (L.),2021,5.7,30.4
Bergen (NH.),2012,13.6,26.3
Bergen (NH.),2013,13.6,26.6
Bergen (NH.),2014,13.6,27.4
Bergen (NH.),2015,13.6,27.7
Bergen (NH.),2016,13.6,28.9
Bergen (NH.),2017,13.6,29.5
Bergen (NH.),2018,13.7,30.0
Bergen (NH.),2019,13.8,31.4
Bergen (NH.),2020,13.8,32.4
Bergen (NH.),2021,13.8,33.6
Bergen op Zoom,2012,29.1,23.1
Bergen op Zoom,2013,29.2,23.2
Bergen op Zoom,2014,29.4,23.9
Bergen op Zoom,2015,29.4,24.4
Bergen op Zoom,2016,29.3,25.1
Bergen op Zoom,2017,29.3,25.7
Bergen op Zoom,2018,29.4,26.2
Bergen op Zoom,2019,29.8,27.4
Bergen op Zoom,2020,30.3,28.6
Bergen op Zoom,2021,30.4,29.7
Berkelland,2012,18.2,23.6
Berkelland,2013,18.4,23.7
Berkelland,2014,18.4,24.5
Berkelland,2015,18.5,24.7
Berkelland,2016,18.6,25.8
Berkelland,2017,18.6,26.5
Berkelland,2018,18.6,26.8
Berkelland,2019,18.8,28.1
Berkelland,2020,18.8,29.1
Berkelland,2021,18.9,30.5
Bernheze,2012,11.4,25.2
Bernheze,2013,11.5,25.4
Bernheze,2014,11.5,26.3
Bernheze,2015,11.6,26.7
Bernheze,2016,11.7,27.9
Bernheze,2017,12.0,28.5
Bernheze,2018,12.1,28.9
Bernheze,2019,12.3,30.3
Bernheze,2020,12.6,31.4
Bernheze,2021,12.7,32.7
Best,2012,11.6,25.9
Best,2013,11.6,26.3
Best,2014,11.8,26.9
Best,2015,11.9,27.5
Best,2016,12.0,28.4
Best,2017,12.2,29.2
Best,2018,12.4,29.5
Best,2019,12.6,30.9
Best,2020,12.8,31.8
Best,2021,13.0,33.3
