municipality,year,num_households,median_income
Enkhuizen,2021,8.6,29.3
Enschede,2012,74.7,19.5
Enschede,2013,75.1,19.5
Enschede,2014,74.3,20.1
Enschede,2015,74.9,20.4
Enschede,2016,74.8,21.1
Enschede,2017,75.3,21.5
Enschede,2018,75.7,21.9
Enschede,2019,76.0,22.9
Enschede,2020,76.6,23.9
Enschede,2021,77.0,25.1
Epe,2012,13.6,23.5
Epe,2013,13.6,23.7
Epe,2014,13.5,24.4
Epe,2015,13.6,24.7
Epe,2016,13.7,25.6
Epe,2017,13.9,26.1
Epe,2018,14.0,26.6
Epe,2019,14.1,28.0
Epe,2020,14.2,29.2
Epe,2021,14.2,30.6
Ermelo,2012,10.8,24.3
Ermelo,2013,11.0,24.6
Ermelo,2014,10.5,26.0
Ermelo,2015,10.6,26.2
Ermelo,2016,10.8,27.0
Ermelo,2017,10.9,27.8
Ermelo,2018,11.0,28.0
Ermelo,2019,11.1,29.2
Ermelo,2020,11.2,30.2
Ermelo,2021,11.2,31.5
Etten-Leur,2012,17.6,24.1
Etten-Leur,2013,17.8,24.3
Etten-Leur,2014,17.7,25.2
Etten-Leur,2015,17.8,25.6
Etten-Leur,2016,18.0,26.6
Etten-Leur,2017,18.3,27.0
Etten-Leur,2018,18.5,27.4
Etten-Leur,2019,18.7,28.8
Etten-Leur,2020,18.8,29.9
Etten-Leur,2021,18.9,31.2
Geertruidenberg,2012,9.1,24.1
Geertruidenberg,2013,9.2,24.2
Geertruidenberg,2014,9.2,24.9
Geertruidenberg,2015,9.2,25.3
Geertruidenberg,2016,9.3,26.3
Geertruidenberg,2017,9.3,26.9
Geertruidenberg,2018,9.3,27.2
Geertruidenberg,2019,9.3,28.7
Geertruidenberg,2020,9.4,29.8
Geertruidenberg,2021,9.5,31.1
Geldrop-Mierlo,2012,16.9,24.1
Geldrop-Mierlo,2013,17.0,24.3
Geldrop-Mierlo,2014,17.0,24.9
Geldrop-Mierlo,2015,17.0,25.5
Geldrop-Mierlo,2016,17.2,26.5
Geldrop-Mierlo,2017,17.3,27.1
Geldrop-Mierlo,2018,17.4,27.5
Geldrop-Mierlo,2019,17.6,29.0
Geldrop-Mierlo,2020,17.7,30.2
Geldrop-Mierlo,2021,17.9,31.6
Gemert-Bakel,2012,11.7,23.7
Gemert-Bakel,2013,11.8,23.8
Gemert-Bakel,2014,11.9,24.6
Gemert-Bakel,2015,12.2,24.8
Gemert-Bakel,2016,12.3,25.9
Gemert-Bakel,2017,12.5,26.6
Gemert-Bakel,2018,12.7,27.0
Gemert-Bakel,2019,12.8,28.3
Gemert-Bakel,2020,13.0,29.4
Gemert-Bakel,2021,13.1,30.8
Gennep,2012,7.1,23.7
Gennep,2013,7.1,23.9
Gennep,2014,7.1,24.6
Gennep,2015,7.1,25.2
Gennep,2016,7.1,26.2
Gennep,2017,7.2,26.7
Gennep,2018,7.2,27.2
Gennep,2019,7.2,28.5
Gennep,2020,7.2,29.6
Gennep,2021,7.3,30.7
Gilze en Rijen,2012,10.4,24.2
Gilze en Rijen,2013,10.7,24.4
Gilze en Rijen,2014,10.8,24.9
Gilze en Rijen,2015,10.8,25.4
Gilze en Rijen,2016,10.9,26.5
Gilze en Rijen,2017,10.9,27.2
Gilze en Rijen,2018,11.0,27.6
Gilze en Rijen,2019,11.2,28.9
Gilze en Rijen,2020,11.2,29.8
Gilze en Rijen,2021,11.2,31.2
Goes,2012,16.7,23.3
Goes,2013,16.9,23.5
Goes,2014,16.7,24.2
Goes,2015,16.8,24.7
Goes,2016,16.9,25.5
Goes,2017,17.1,26.0
Goes,2018,17.3,26.3
Goes,2019,17.5,27.5
Goes,2020,17.7,28.7
Goes,2021,17.9,29.9
Goirle,2012,9.4,25.7
Goirle,2013,9.6,25.7
Goirle,2014,9.7,26.4
Goirle,2015,9.9,26.8
Goirle,2016,9.9,27.9
Goirle,2017,10.0,28.7
Goirle,2018,10.0,29.1
Goirle,2019,10.1,30.8
Goirle,2020,10.2,31.8
Goirle,2021,10.2,33.3
Gorinchem,2012,15.5,22.7
Gorinchem,2013,15.5,22.8
Gorinchem,2014,15.5,23.5
Gorinchem,2015,15.6,23.9
Gorinchem,2016,15.6,24.8
Gorinchem,2017,15.9,25.4
Gorinchem,2018,16.2,25.8
Gorinchem,2019,16.4,27.1
Gorinchem,2020,16.6,28.3
Gorinchem,2021,16.8,29.5
Gouda,2012,31.0,23.6
Gouda,2013,30.9,23.7
Gouda,2014,31.2,24.3
Gouda,2015,31.5,24.7
Gouda,2016,31.6,25.6
Gouda,2017,32.3,26.1
Gouda,2018,33.0,26.6
Gouda,2019,33.2,28.1
Gouda,2020,33.4,29.3
Gouda,2021,33.6,30.6
's-Gravenhage,2012,239.8,21.1
's-Gravenhage,2013,241.3,21.1
's-Gravenhage,2014,241.9,21.7
's-Gravenhage,2015,245.5,21.9
's-Gravenhage,2016,247.5,22.7
's-Gravenhage,2017,249.2,23.4
's-Gravenhage,2018,252.9,23.9
's-Gravenhage,2019,255.6,25.2
's-Gravenhage,2020,259.6,26.2
's-Gravenhage,2021,262.0,27.4
Groningen,2012,121.6,18.2
Groningen,2013,123.2,18.2
Groningen,2014,124.5,18.6
Groningen,2015,126.5,18.9
Groningen,2016,127.1,19.6
Groningen,2017,127.7,20.1
Groningen,2018,128.1,20.6
Groningen,2019,128.6,21.6
Groningen,2020,129.3,22.7
Groningen,2021,130.6,23.9
Gulpen-Wittem,2012,6.3,24.0
Gulpen-Wittem,2013,6.3,24.3
Gulpen-Wittem,2014,6.4,25.0
Gulpen-Wittem,2015,6.4,25.3
Gulpen-Wittem,2016,6.4,26.3
Gulpen-Wittem,2017,6.5,26.9
Gulpen-Wittem,2018,6.5,27.2
Gulpen-Wittem,2019,6.5,28.3
Gulpen-Wittem,2020,6.5,29.4
Gulpen-Wittem,2021,6.6,30.8
Haaksbergen,2012,9.8,23.9
Haaksbergen,2013,9.9,24.2
Haaksbergen,2014,9.9,24.7
Haaksbergen,2015,9.9,25.1
Haaksbergen,2016,9.9,26.3
Haaksbergen,2017,10.0,26.9
Haaksbergen,2018,10.1,27.4
Haaksbergen,2019,10.1,28.7
Haaksbergen,2020,10.2,29.8
Haaksbergen,2021,10.2,31.2
Haarlem,2012,73.1,23.6
Haarlem,2013,73.5,23.9
Haarlem,2014,74.5,24.6
Haarlem,2015,75.2,25.2
Haarlem,2016,75.9,26.1
Haarlem,2017,76.1,26.8
Haarlem,2018,76.3,27.5
Haarlem,2019,77.1,28.8
Haarlem,2020,77.4,30.0
Haarlem,2021,77.5,31.4
Haarlemmermeer,2012,60.8,26.3
Haarlemmermeer,2013,61.1,26.6
Haarlemmermeer,2014,61.2,27.4
Haarlemmermeer,2015,61.8,27.8
Haarlemmermeer,2016,62.2,28.9
Haarlemmermeer,2017,63.1,29.6
Haarlemmermeer,2018,63.8,30.1
Haarlemmermeer,2019,64.4,31.6
Haarlemmermeer,2020,65.2,32.6
Haarlemmermeer,2021,66.1,34.0
Halderberge,2012,12.2,24.2
Halderberge,2013,12.2,24.4
Halderberge,2014,12.5,25.0
Halderberge,2015,12.6,25.4
Halderberge,2016,12.7,26.2
Halderberge,2017,12.7,26.8
Halderberge,2018,12.9,27.1
Halderberge,2019,13.1,28.3
Halderberge,2020,13.0,29.7
Halderberge,2021,13.1,30.9
Hardenberg,2012,22.9,22.7
Hardenberg,2013,23.1,22.9
Hardenberg,2014,23.0,23.6
Hardenberg,2015,23.2,24.0
Hardenberg,2016,23.4,25.0
Hardenberg,2017,23.7,25.8
Hardenberg,2018,23.9,26.2
Hardenberg,2019,24.1,27.4
Hardenberg,2020,24.3,28.8
Hardenberg,2021,24.6,30.3
Harderwijk,2012,18.9,23.5
Harderwijk,2013,19.0,23.7
Harderwijk,2014,19.0,24.4
Harderwijk,2015,19.2,24.8
Harderwijk,2016,19.4,25.7
Harderwijk,2017,19.6,26.3
Harderwijk,2018,19.8,26.8
Harderwijk,2019,20.1,28.3
Harderwijk,2020,20.5,29.5
Harderwijk,2021,20.7,30.8
Hardinxveld-Giessendam,2012,6.8,24.2
Hardinxveld-Giessendam,2013,6.8,24.6
Hardinxveld-Giessendam,2014,6.8,25.0
Hardinxveld-Giessendam,2015,6.8,25.5
Hardinxveld-Giessendam,2016,6.9,26.3
Hardinxveld-Giessendam,2017,6.9,26.9
Hardinxveld-Giessendam,2018,7.0,27.6
Hardinxveld-Giessendam,2019,7.0,28.8
Hardinxveld-Giessendam,2020,7.1,29.9
Hardinxveld-Giessendam,2021,7.2,31.2
Harlingen,2012,7.1,21.0
Harlingen,2013,7.1,21.1
Harlingen,2014,7.2,21.4
Harlingen,2015,7.3,21.6
Harlingen,2016,7.4,22.3
Harlingen,2017,7.4,22.9
Harlingen,2018,7.3,23.6
Harlingen,2019,7.4,24.6
Harlingen,2020,7.4,25.6
Harlingen,2021,7.5,26.8
Hattem,2012,4.8,24.3
Hattem,2013,4.8,24.3
Hattem,2014,4.8,25.1
Hattem,2015,4.9,25.5
Hattem,2016,4.9,26.7
Hattem,2017,5.0,27.4
Hattem,2018,5.0,27.9
Hattem,2019,5.0,29.2
Hattem,2020,5.1,30.4
Hattem,2021,5.1,31.9
Heemskerk,2012,16.9,24.5
Heemskerk,2013,16.9,24.8
Heemskerk,2014,17.0,25.5
Heemskerk,2015,17.1,26.0
Heemskerk,2016,17.3,26.9
Heemskerk,2017,17.3,27.5
Heemskerk,2018,17.2,27.9
Heemskerk,2019,17.2,29.3
Heemskerk,2020,17.3,30.4
Heemskerk,2021,17.3,31.7
Heemstede,2012,11.4,30.2
Heemstede,2013,11.5,30.4
Heemstede,2014,11.5,31.4
Heemstede,2015,11.7,31.7
Heemstede,2016,11.8,32.5
Heemstede,2017,11.8,33.4
Heemstede,2018,11.8,33.8
Heemstede,2019,11.9,35.4
Heemstede,2020,11.9,36.3
Heemstede,2021,12.1,38.3
Heerde,2012,7.3,24.2
Heerde,2013,7.4,24.4
Heerde,2014,7.5,25.1
Heerde,2015,7.5,25.5
Heerde,2016,7.5,26.4
Heerde,2017,7.5,27.2
Heerde,2018,7.6,27.5
Heerde,2019,7.6,28.9
Heerde,2020,7.6,30.1
Heerde,2021,7.7,31.3
Heerenveen,2012,22.1,22.4
Heerenveen,2013,22.1,22.7
Heerenveen,2014,22.1,23.2
Heerenveen,2015,22.2,23.6
Heerenveen,2016,22.3,24.5
Heerenveen,2017,22.5,25.1
Heerenveen,2018,22.5,25.4
Heerenveen,2019,22.6,26.8
Heerenveen,2020,22.8,27.8
Heerenveen,2021,22.9,29.0
Heerlen,2012,44.5,20.0
Heerlen,2013,44.4,20.1
Heerlen,2014,44.4,20.5
Heerlen,2015,44.3,20.8
Heerlen,2016,44.4,21.5
Heerlen,2017,44.8,21.9
Heerlen,2018,44.8,22.3
Heerlen,2019,44.8,23.3
Heerlen,2020,44.9,24.1
Heerlen,2021,45.0,24.9
Heeze-Leende,2012,6.2,27.0
Heeze-Leende,2013,6.3,27.2
Heeze-Leende,2014,6.3,28.3
Heeze-Leende,2015,6.4,28.6
Heeze-Leende,2016,6.5,29.8
Heeze-Leende,2017,6.5,30.5
Heeze-Leende,2018,6.6,30.9
Heeze-Leende,2019,6.7,32.7
Heeze-Leende,2020,6.8,34.0
Heeze-Leende,2021,6.8,35.4
Heiloo,2012,9.7,27.8
Heiloo,2013,9.7,28.0
Heiloo,2014,9.8,28.7
Heiloo,2015,9.8,29.4
Heiloo,2016,9.9,30.2
Heiloo,2017,10.3,30.5
Heiloo,2018,10.3,30.8
Heiloo,2019,10.5,32.3
Heiloo,2020,10.7,33.3
Heiloo,2021,10.8,34.9
Den Helder,2012,27.0,22.0
Den Helder,2013,27.0,22.1
Den Helder,2014,26.5,22.9
Den Helder,2015,26.4,23.3
Den Helder,2016,26.4,24.0
Den Helder,2017,26.6,24.4
Den Helder,2018,26.6,24.9
Den Helder,2019,26.7,26.1
Den Helder,2020,27.0,27.0
Den Helder,2021,27.2,28.1
Hellendoorn,2012,14.1,23.3
Hellendoorn,2013,14.2,23.6
Hellendoorn,2014,14.3,24.3
Hellendoorn,2015,14.3,24.8
Hellendoorn,2016,14.4,25.6
Hellendoorn,2017,14.4,26.4
Hellendoorn,2018,14.5,26.9
Hellendoorn,2019,14.6,28.2
Hellendoorn,2020,14.7,29.3
Hellendoorn,2021,14.8,30.6
Helmond,2012,37.9,21.9
Helmond,2013,38.2,21.9
Helmond,2014,38.6,22.4
Helmond,2015,39.0,22.7
Helmond,2016,39.3,23.7
Helmond,2017,39.6,24.5
Helmond,2018,39.8,24.9
Helmond,2019,40.4,26.2
Helmond,2020,40.9,27.3
Helmond,2021,41.2,28.6
Hendrik-Ido-Ambacht,2012,11.1,25.8
Hendrik-Ido-Ambacht,2013,11.3,26.1
Hendrik-Ido-Ambacht,2014,11.3,27.0
Hendrik-Ido-Ambacht,2015,11.4,27.5
Hendrik-Ido-Ambacht,2016,11.5,28.6
Hendrik-Ido-Ambacht,2017,11.7,29.1
Hendrik-Ido-Ambacht,2018,12.0,29.7
Hendrik-Ido-Ambacht,2019,12.1,31.2
Hendrik-Ido-Ambacht,2020,12.2,32.4
Hendrik-Ido-Ambacht,2021,12.2,33.8
Hengelo,2012,36.1,22.1
Hengelo,2013,36.3,22.3
Hengelo,2014,36.4,22.9
Hengelo,2015,36.6,23.3
Hengelo,2016,36.7,24.1
Hengelo,2017,36.9,24.7
Hengelo,2018,37.1,25.1
Hengelo,2019,37.5,26.2
Hengelo,2020,37.8,27.4
Hengelo,2021,38.0,28.6
's-Hertogenbosch,2012,68.2,23.6
's-Hertogenbosch,2013,68.8,23.8
's-Hertogenbosch,2014,69.1,24.5
's-Hertogenbosch,2015,69.4,25.0
's-Hertogenbosch,2016,70.1,26.1
's-Hertogenbosch,2017,71.0,26.6
's-Hertogenbosch,2018,71.6,27.1
's-Hertogenbosch,2019,72.2,28.4
's-Hertogenbosch,2020,73.0,29.6
's-Hertogenbosch,2021,73.4,30.9
Heumen,2012,6.7,26.7
Heumen,2013,6.8,27.0
Heumen,2014,6.8,27.6
Heumen,2015,6.9,28.2
Heumen,2016,6.9,29.3
Heumen,2017,7.0,29.9
Heumen,2018,7.0,30.1
Heumen,2019,7.1,31.4
Heumen,2020,7.1,32.6
Heumen,2021,7.2,33.9
Heusden,2012,17.5,24.7
Heusden,2013,17.7,24.8
Heusden,2014,17.8,25.6
Heusden,2015,17.9,25.9
Heusden,2016,18.0,26.8
Heusden,2017,18.2,27.6
Heusden,2018,18.3,28.0
Heusden,2019,18.6,29.4
Heusden,2020,19.0,30.6
Heusden,2021,19.3,32.1
Hillegom,2012,9.0,24.8
Hillegom,2013,9.1,25.0
Hillegom,2014,9.1,25.6
Hillegom,2015,9.2,26.0
Hillegom,2016,9.3,27.0
Hillegom,2017,9.4,27.8
Hillegom,2018,9.6,28.2
Hillegom,2019,9.7,29.8
Hillegom,2020,9.8,30.6
Hillegom,2021,9.8,31.9
Hilvarenbeek,2012,5.9,26.5
Hilvarenbeek,2013,6.0,26.9
Hilvarenbeek,2014,6.1,27.6
Hilvarenbeek,2015,6.1,28.2
Hilvarenbeek,2016,6.2,29.2
Hilvarenbeek,2017,6.3,29.9
Hilvarenbeek,2018,6.3,30.2
Hilvarenbeek,2019,6.4,32.0
Hilvarenbeek,2020,6.5,32.9
Hilvarenbeek,2021,6.7,34.6
Hilversum,2012,40.1,23.8
Hilversum,2013,40.4,24.0
Hilversum,2014,40.7,24.7
Hilversum,2015,41.0,25.2
Hilversum,2016,41.2,26.1
Hilversum,2017,41.7,26.8
Hilversum,2018,41.9,27.3
Hilversum,2019,42.1,28.8
Hilversum,2020,42.3,29.7
Hilversum,2021,42.6,31.2
Hof van Twente,2012,14.4,24.2
Hof van Twente,2013,14.5,24.5
Hof van Twente,2014,14.4,25.3
Hof van Twente,2015,14.4,25.6
Hof van Twente,2016,14.5,26.5
Hof van Twente,2017,14.7,27.2
Hof van Twente,2018,14.7,27.5
Hof van Twente,2019,14.8,28.9
Hof van Twente,2020,14.9,30.0
Hof van Twente,2021,15.0,31.3
Hoogeveen,2012,23.1,21.6
Hoogeveen,2013,23.2,21.8
Hoogeveen,2014,23.3,22.4
Hoogeveen,2015,23.5,22.7
Hoogeveen,2016,23.6,23.6
Hoogeveen,2017,23.8,24.1
Hoogeveen,2018,24.0,24.5
Hoogeveen,2019,24.2,25.7
Hoogeveen,2020,24.3,26.8
Hoogeveen,2021,24.3,27.9
Hoorn,2012,31.5,23.2
Hoorn,2013,31.6,23.3
Hoorn,2014,31.8,24.0
Hoorn,2015,32.0,24.5
Hoorn,2016,32.3,25.5
Hoorn,2017,32.6,26.0
Hoorn,2018,32.6,26.5
Hoorn,2019,32.8,27.9
Hoorn,2020,33.0,29.0
Hoorn,2021,33.3,30.1
Horst aan de Maas,2012,16.8,24.5
Horst aan de Maas,2013,16.8,24.8
Horst aan de Maas,2014,16.8,25.6
Horst aan de Maas,2015,17.0,26.0
Horst aan de Maas,2016,17.2,27.1
Horst aan de Maas,2017,17.6,27.6
Horst aan de Maas,2018,17.8,28.0
Horst aan de Maas,2019,17.8,29.3
Horst aan de Maas,2020,18.0,30.3
Horst aan de Maas,2021,18.2,31.7
Houten,2012,18.6,27.7
Houten,2013,18.9,28.1
Houten,2014,19.1,28.9
Houten,2015,19.3,29.5
Houten,2016,19.3,30.6
Houten,2017,19.6,31.1
Houten,2018,19.8,31.5
Houten,2019,20.1,32.9
Houten,2020,20.2,34.2
Houten,2021,20.4,35.7
Huizen,2012,18.0,25.4
Huizen,2013,18.0,25.5
Huizen,2014,17.8,26.3
Huizen,2015,17.9,26.8
Huizen,2016,18.0,27.7
Huizen,2017,18.2,28.1
Huizen,2018,18.2,28.5
Huizen,2019,18.3,29.9
Huizen,2020,18.4,30.9
Huizen,2021,18.5,32.1
Hulst,2012,12.4,24.1
Hulst,2013,12.4,24.2
Hulst,2014,12.3,25.0
Hulst,2015,12.2,25.3
Hulst,2016,12.2,26.0
Hulst,2017,12.4,26.5
Hulst,2018,12.5,27.0
Hulst,2019,12.5,28.3
Hulst,2020,12.6,29.3
Hulst,2021,12.6,30.6
IJsselstein,2012,13.9,25.7
IJsselstein,2013,14.0,26.0
IJsselstein,2014,14.1,26.6
IJsselstein,2015,14.0,27.2
IJsselstein,2016,14.1,28.2
IJsselstein,2017,14.2,29.0
IJsselstein,2018,14.3,29.3
IJsselstein,2019,14.3,30.8
IJsselstein,2020,14.3,32.0
IJsselstein,2021,14.3,33.4
Kaag en Braassem,2012,10.4,26.1
Kaag en Braassem,2013,10.5,26.2
Kaag en Braassem,2014,10.5,27.1
Kaag en Braassem,2015,10.7,27.6
Kaag en Braassem,2016,10.9,28.6
Kaag en Braassem,2017,11.1,29.2
Kaag en Braassem,2018,11.2,29.7
Kaag en Braassem,2019,11.4,31.0
Kaag en Braassem,2020,11.6,32.1
Kaag en Braassem,2021,11.8,33.7
Kampen,2012,20.1,22.3
Kampen,2013,20.3,22.4
Kampen,2014,20.3,23.1
Kampen,2015,20.6,23.4
Kampen,2016,20.9,24.5
Kampen,2017,21.3,25.1
Kampen,2018,21.6,25.6
Kampen,2019,21.8,26.8
Kampen,2020,22.1,28.1
Kampen,2021,22.3,29.5
Kapelle,2012,4.9,25.6
Kapelle,2013,5.0,25.8
Kapelle,2014,5.0,26.4
Kapelle,2015,5.1,26.9
Kapelle,2016,5.1,27.9
Kapelle,2017,5.1,28.5
Kapelle,2018,5.2,28.6
Kapelle,2019,5.2,30.0
Kapelle,2020,5.3,31.2
Kapelle,2021,5.3,32.5
Katwijk,2012,24.1,24.2
Katwijk,2013,24.4,24.4
Katwijk,2014,24.5,25.2
Katwijk,2015,25.0,25.6
Katwijk,2016,25.3,26.6
Katwijk,2017,25.7,27.4
Katwijk,2018,26.0,27.9
Katwijk,2019,26.1,29.1
Katwijk,2020,26.5,30.4
Katwijk,2021,26.7,31.7
Kerkrade,2012,22.7,20.4
Kerkrade,2013,22.8,20.3
Kerkrade,2014,22.6,20.9
Kerkrade,2015,22.5,21.2
Kerkrade,2016,22.4,22.0
Kerkrade,2017,22.5,22.4
Kerkrade,2018,22.5,22.8
Kerkrade,2019,22.6,23.8
Kerkrade,2020,22.7,24.4
Kerkrade,2021,22.7,25.4
Koggenland,2012,8.9,25.4
Koggenland,2013,9.0,25.7
Koggenland,2014,9.0,26.6
Koggenland,2015,9.0,27.0
Koggenland,2016,9.1,28.2
Koggenland,2017,9.1,28.8
Koggenland,2018,9.2,29.3
Koggenland,2019,9.2,30.7
Koggenland,2020,9.3,31.9
Koggenland,2021,9.4,33.4
Krimpen aan den IJssel,2012,11.8,24.9
Krimpen aan den IJssel,2013,11.9,24.9
Krimpen aan den IJssel,2014,12.0,25.7
Krimpen aan den IJssel,2015,12.1,25.6
Krimpen aan den IJssel,2016,12.1,26.5
Krimpen aan den IJssel,2017,12.1,27.0
Krimpen aan den IJssel,2018,12.2,27.3
Krimpen aan den IJssel,2019,12.3,28.7
Krimpen aan den IJssel,2020,12.4,29.6
Krimpen aan den IJssel,2021,12.4,30.8
Laarbeek,2012,8.7,24.4
Laarbeek,2013,8.9,24.5
Laarbeek,2014,8.9,25.4
Laarbeek,2015,9.0,25.8
Laarbeek,2016,9.0,26.9
Laarbeek,2017,9.1,27.6
Laarbeek,2018,9.3,28.0
Laarbeek,2019,9.4,29.4
Laarbeek,2020,9.5,30.5
Laarbeek,2021,9.6,31.9
Landgraaf,2012,17.3,22.3
Landgraaf,2013,17.4,22.5
Landgraaf,2014,17.3,23.1
Landgraaf,2015,17.3,23.6
Landgraaf,2016,17.4,24.3
Landgraaf,2017,17.5,24.8
Landgraaf,2018,17.5,25.1
Landgraaf,2019,17.6,26.3
Landgraaf,2020,17.6,27.1
Landgraaf,2021,17.6,28.1
Landsmeer,2012,4.4,27.5
Landsmeer,2013,4.4,27.7
Landsmeer,2014,4.5,28.6
Landsmeer,2015,4.6,29.0
Landsmeer,2016,4.7,30.0
Landsmeer,2017,4.8,30.7
Landsmeer,2018,4.8,31.2
Landsmeer,2019,4.8,32.6
Landsmeer,2020,4.8,33.7
Landsmeer,2021,4.9,34.9
Lansingerland,2012,20.9,28.3
Lansingerland,2013,21.4,28.5
Lansingerland,2014,21.7,29.5
Lansingerland,2015,22.0,29.9
Lansingerland,2016,22.4,31.0
Lansingerland,2017,22.8,31.9
Lansingerland,2018,23.2,32.2
Lansingerland,2019,23.4,33.8
Lansingerland,2020,23.8,35.2
Lansingerland,2021,24.3,36.6
Laren,2012,5.0,30.1
Laren,2013,4.8,31.1
Laren,2014,4.7,32.1
Laren,2015,4.8,31.8
Laren,2016,4.9,33.2
Laren,2017,4.9,34.5
Laren,2018,4.9,35.0
Laren,2019,4.9,36.5
Laren,2020,4.9,37.2
Laren,2021,5.0,39.1
Leeuwarden,2012,58.4,20.7
Leeuwarden,2013,59.0,20.7
Leeuwarden,2014,59.2,21.2
Leeuwarden,2015,59.5,21.6
Leeuwarden,2016,59.6,22.4
Leeuwarden,2017,60.4,22.8
Leeuwarden,2018,60.9,23.3
Leeuwarden,2019,61.4,24.3
Leeuwarden,2020,62.1,25.3
Leeuwarden,2021,62.4,26.4
Leiden,2012,60.6,21.2
Leiden,2013,61.6,21.2
Leiden,2014,62.6,21.7
Leiden,2015,63.0,22.1
Leiden,2016,63.7,22.8
Leiden,2017,64.7,23.2
Leiden,2018,65.6,23.8
Leiden,2019,66.1,25.0
Leiden,2020,66.0,26.3
Leiden,2021,66.2,27.6
Leiderdorp,2012,11.7,26.4
Leiderdorp,2013,11.7,26.6
Leiderdorp,2014,11.8,27.4
Leiderdorp,2015,11.9,27.8
Leiderdorp,2016,12.1,28.7
Leiderdorp,2017,12.1,29.2
Leiderdorp,2018,12.1,29.7
Leiderdorp,2019,12.1,31.3
Leiderdorp,2020,12.1,32.5
Leiderdorp,2021,12.3,33.7
Leidschendam-Voorburg,2012,34.6,25.9
Leidschendam-Voorburg,2013,34.8,26.0
Leidschendam-Voorburg,2014,35.0,26.7
Leidschendam-Voorburg,2015,35.3,27.1
Leidschendam-Voorburg,2016,35.4,27.9
Leidschendam-Voorburg,2017,35.6,28.3
Leidschendam-Voorburg,2018,35.7,28.7
Leidschendam-Voorburg,2019,36.0,30.1
Leidschendam-Voorburg,2020,36.3,31.2
Leidschendam-Voorburg,2021,36.3,32.6
Lelystad,2012,32.3,22.2
Lelystad,2013,32.6,22.3
Lelystad,2014,32.6,23.0
Lelystad,2015,32.8,23.4
Lelystad,2016,33.1,24.2
Lelystad,2017,33.2,24.9
Lelystad,2018,33.4,25.3
Lelystad,2019,33.7,26.6
Lelystad,2020,34.1,27.7
Lelystad,2021,34.7,28.9
Leudal,2012,15.0,25.0
Leudal,2013,15.1,25.2
Leudal,2014,15.1,25.9
Leudal,2015,15.2,26.3
Leudal,2016,15.2,27.2
Leudal,2017,15.3,27.8
Leudal,2018,15.4,28.2
Leudal,2019,15.5,29.5
Leudal,2020,15.6,30.5
Leudal,2021,15.7,31.8
Leusden,2012,12.1,27.7
Leusden,2013,12.1,28.0
Leusden,2014,12.2,28.8
Leusden,2015,12.3,29.1
Leusden,2016,12.4,30.2
Leusden,2017,12.6,30.6
Leusden,2018,12.7,31.0
Leusden,2019,12.9,32.4
Leusden,2020,13.0,33.5
Leusden,2021,13.2,34.9
Lingewaard,2012,18.6,24.3
Lingewaard,2013,18.8,24.5
Lingewaard,2014,18.9,25.3
Lingewaard,2015,18.9,25.8
Lingewaard,2016,19.0,26.8
Lingewaard,2017,19.3,27.5
Lingewaard,2018,19.4,27.9
Lingewaard,2019,19.5,29.3
Lingewaard,2020,19.6,30.5
Lingewaard,2021,19.8,31.9
Lisse,2012,9.8,24.6
Lisse,2013,9.7,24.8
Lisse,2014,9.7,25.4
Lisse,2015,9.8,26.0
Lisse,2016,9.9,27.1
Lisse,2017,10.0,27.7
Lisse,2018,10.1,28.0
Lisse,2019,10.1,29.4
Lisse,2020,10.2,30.6
Lisse,2021,10.2,32.1
Lochem,2012,14.0,25.4
Lochem,2013,14.1,25.6
Lochem,2014,14.1,26.4
Lochem,2015,14.2,26.7
Lochem,2016,14.3,27.6
Lochem,2017,14.5,28.3
Lochem,2018,14.6,28.6
Lochem,2019,14.6,30.2
Lochem,2020,14.7,31.1
Lochem,2021,14.9,32.5
Loon op Zand,2012,9.3,24.4
Loon op Zand,2013,9.5,24.7
Loon op Zand,2014,9.7,25.3
Loon op Zand,2015,9.7,25.8
Loon op Zand,2016,9.8,26.7
Loon op Zand,2017,9.9,27.2
Loon op Zand,2018,9.9,27.7
Loon op Zand,2019,10.0,29.1
Loon op Zand,2020,10.1,30.1
Loon op Zand,2021,10.2,31.4
Lopik,2012,5.3,25.4
Lopik,2013,5.3,25.8
Lopik,2014,5.3,26.4
Lopik,2015,5.3,26.8
Lopik,2016,5.4,27.9
Lopik,2017,5.5,28.9
Lopik,2018,5.5,29.6
Lopik,2019,5.6,31.2
Lopik,2020,5.6,32.5
Lopik,2021,5.7,33.9
Losser,2012,9.1,22.9
Losser,2013,9.2,23.1
Losser,2014,9.1,24.0
Losser,2015,9.1,24.4
Losser,2016,9.2,25.3
Losser,2017,9.2,26.0
Losser,2018,9.3,26.3
Losser,2019,9.3,27.5
Losser,2020,9.4,28.6
Losser,2021,9.5,29.8
Maasdriel,2012,9.5,24.6
Maasdriel,2013,9.6,24.8
Maasdriel,2014,9.7,25.5
Maasdriel,2015,9.8,26.0
Maasdriel,2016,9.8,27.1
Maasdriel,2017,9.9,28.0
Maasdriel,2018,10.0,28.5
Maasdriel,2019,10.2,29.7
Maasdriel,2020,10.5,30.5
Maasdriel,2021,10.8,31.6
Maasgouw,2012,10.0,24.8
Maasgouw,2013,10.2,24.8
Maasgouw,2014,10.3,25.6
